experiment_id,token_variant,num_topics,no_below,no_above,alpha,eta,passes,coherence_cv,vocabulary_size,num_docs_used,empty_bow_count,largest_topic_percent,smallest_topic_percent,topic_words_summary,topic_distribution
11,unigram,10,3,0.5,symmetric,symmetric,10,0.5039402377783462,3464,1078,42,16.312741312741313,2.8957528957528957,"T0: attack, attacker, device, system, said, network, data, user, address, access | T1: file, system, command, window, attacker, payload, figure, script, code, agent | T2: phone, crime, fraud, use, reward, law, federal, year, police, help | T3: pointer, buffer, write, heap, payload, data, dynamic, object, exploit, process | T4: access, process, attack, adversary, window, security, api, handle, target, used | T5: module, code, exploit, request, update, add, metasploit, cve, digicat, rce | T6: security, team, data, vulnerability, risk, exposure, environment, remediation, model, time | T7: job, version, tool, year, exploit, cpanel, list, cybersecurity, user, security | T8: vulnerability, cve, exploitation, window, likely, less, privilege, elevation, microsoft, service | T9: file, window, ransomware, platform, talos, email, encryption, figure, ddos, system",T0: 169; T1: 83; T2: 129; T3: 30; T4: 87; T5: 110; T6: 103; T7: 147; T8: 74; T9: 104
12,unigram,10,3,0.5,symmetric,symmetric,20,0.5201343708806283,3464,1078,42,17.084942084942085,2.7027027027027026,"T0: attack, attacker, device, said, system, network, user, data, address, access | T1: file, system, command, payload, agent, script, attacker, figure, window, code | T2: phone, crime, use, fraud, reward, law, federal, year, police, group | T3: pointer, buffer, write, heap, data, payload, dynamic, exploit, object, process | T4: access, process, attack, adversary, window, api, security, handle, used, target | T5: module, code, exploit, request, add, update, metasploit, digicat, cve, rce | T6: security, team, risk, data, vulnerability, environment, exposure, remediation, model, time | T7: job, version, year, tool, cpanel, exploit, cybersecurity, list, actually, site | T8: vulnerability, cve, exploitation, window, likely, less, privilege, elevation, microsoft, service | T9: file, window, ransomware, talos, platform, email, encryption, ddos, system, malware",T0: 177; T1: 80; T2: 131; T3: 28; T4: 88; T5: 103; T6: 102; T7: 149; T8: 73; T9: 105
13,unigram,10,3,0.5,asymmetric,auto,10,0.512127617281877,3464,1078,42,43.82239382239382,3.3783783783783785,"T0: attack, device, data, threat, system, attacker, said, hacker, network, malware | T1: file, system, command, code, attacker, window, security, agent, script, attack | T2: phone, crime, fraud, use, reward, year, federal, law, help, online | T3: pointer, buffer, write, heap, payload, dynamic, data, exploit, object, process | T4: access, process, adversary, window, attack, handle, security, target, system, api | T5: module, exploit, add, request, user, metasploit, update, code, cve, rce | T6: security, team, vulnerability, data, risk, exposure, environment, remediation, model, time | T7: sample, job, fuzzing, version, bug, coverage, worker, cpanel, list, arbitrary | T8: vulnerability, cve, exploitation, window, likely, less, privilege, elevation, microsoft, service | T9: file, system, window, figure, attacker, platform, encryption, ransomware, detection, email",T0: 454; T1: 124; T2: 104; T3: 35; T4: 58; T5: 53; T6: 84; T7: 46; T8: 39; T9: 39
14,unigram,10,3,0.5,asymmetric,auto,20,0.5219837230814571,3464,1078,42,43.82239382239382,2.799227799227799,"T0: attack, said, data, device, threat, hacker, malware, company, system, security | T1: file, system, command, code, attacker, agent, payload, script, window, figure | T2: phone, crime, fraud, use, reward, year, federal, help, law, computer | T3: pointer, buffer, write, heap, dynamic, exploit, payload, data, object, call | T4: access, process, adversary, window, attack, handle, security, system, api, target | T5: module, exploit, add, request, update, metasploit, user, code, rce, cve | T6: security, team, vulnerability, risk, data, environment, exposure, model, remediation, time | T7: sample, job, fuzzing, version, bug, coverage, worker, cpanel, list, server | T8: vulnerability, cve, exploitation, window, likely, less, privilege, elevation, microsoft, service | T9: file, system, window, attacker, platform, figure, encryption, email, detection, ransomware",T0: 454; T1: 120; T2: 112; T3: 29; T4: 53; T5: 50; T6: 89; T7: 46; T8: 42; T9: 41
15,unigram,10,3,0.5,asymmetric,symmetric,10,0.512127617281877,3464,1078,42,43.82239382239382,3.3783783783783785,"T0: attack, device, data, threat, system, attacker, said, hacker, network, malware | T1: file, system, command, code, attacker, window, security, agent, script, attack | T2: phone, crime, fraud, use, reward, year, federal, law, help, online | T3: pointer, buffer, write, heap, payload, dynamic, data, exploit, object, process | T4: access, process, adversary, window, attack, handle, security, target, system, api | T5: module, exploit, add, request, user, metasploit, update, code, cve, rce | T6: security, team, vulnerability, data, risk, exposure, environment, remediation, model, time | T7: sample, job, fuzzing, version, bug, coverage, worker, cpanel, list, arbitrary | T8: vulnerability, cve, exploitation, window, likely, less, privilege, elevation, microsoft, service | T9: file, system, window, figure, attacker, platform, encryption, ransomware, detection, email",T0: 454; T1: 124; T2: 104; T3: 35; T4: 58; T5: 53; T6: 84; T7: 46; T8: 39; T9: 39
16,unigram,10,3,0.5,asymmetric,symmetric,20,0.5219837230814571,3464,1078,42,43.82239382239382,2.799227799227799,"T0: attack, said, data, device, threat, hacker, malware, company, system, security | T1: file, system, command, code, attacker, agent, payload, script, window, figure | T2: phone, crime, fraud, use, reward, year, federal, help, law, computer | T3: pointer, buffer, write, heap, dynamic, exploit, payload, data, object, call | T4: access, process, adversary, window, attack, handle, security, system, api, target | T5: module, exploit, add, request, update, metasploit, user, code, rce, cve | T6: security, team, vulnerability, risk, data, environment, exposure, model, remediation, time | T7: sample, job, fuzzing, version, bug, coverage, worker, cpanel, list, server | T8: vulnerability, cve, exploitation, window, likely, less, privilege, elevation, microsoft, service | T9: file, system, window, attacker, platform, figure, encryption, email, detection, ransomware",T0: 454; T1: 120; T2: 112; T3: 29; T4: 53; T5: 50; T6: 89; T7: 46; T8: 42; T9: 41
17,unigram,12,3,0.5,symmetric,auto,10,0.5173272269937536,3464,1078,42,15.83011583011583,2.7027027027027026,"T0: attack, attacker, device, system, said, network, security, access, threat, user | T1: file, system, command, agent, code, attacker, figure, window, script, payload | T2: phone, crime, fraud, use, reward, law, federal, year, police, fbi | T3: object, process, user, administrator, vulnerability, token, access, memory, directory, data | T4: access, process, attack, adversary, window, handle, api, security, target, used | T5: module, exploit, update, metasploit, add, request, code, cve, rce, user | T6: security, team, data, vulnerability, risk, exposure, remediation, environment, model, faster | T7: sample, fuzzing, version, coverage, cpanel, bug, server, worker, user, whm | T8: vulnerability, cve, exploitation, window, likely, less, privilege, elevation, microsoft, service | T9: file, window, detection, ransomware, system, figure, encryption, platform, data, email | T10: zone, year, feel, cybersecurity, packet, job, system, security, actually, malware | T11: buffer, pointer, write, dynamic, payload, heap, skip, exploit, data, call",T0: 164; T1: 80; T2: 109; T3: 28; T4: 74; T5: 114; T6: 85; T7: 72; T8: 39; T9: 104; T10: 124; T11: 43
18,unigram,12,3,0.5,symmetric,auto,20,0.527985673895799,3464,1078,42,16.312741312741313,3.1853281853281854,"T0: attack, device, attacker, said, network, security, access, system, threat, user | T1: file, system, command, code, agent, attacker, payload, figure, script, window | T2: phone, crime, fraud, use, reward, law, federal, police, year, fbi | T3: object, process, user, administrator, vulnerability, token, access, memory, directory, feature | T4: access, process, attack, adversary, window, handle, api, target, security, used | T5: module, exploit, update, add, request, metasploit, code, rce, cve, google | T6: security, team, data, risk, vulnerability, environment, exposure, model, remediation, organization | T7: sample, fuzzing, version, coverage, cpanel, server, bug, worker, whm, user | T8: vulnerability, cve, exploitation, window, likely, less, privilege, elevation, microsoft, service | T9: file, window, detection, ransomware, system, encryption, platform, malware, figure, data | T10: zone, year, feel, packet, actually, tool, job, cybersecurity, system, even | T11: buffer, pointer, write, dynamic, payload, heap, skip, exploit, data, call",T0: 169; T1: 74; T2: 115; T3: 33; T4: 75; T5: 109; T6: 86; T7: 59; T8: 38; T9: 103; T10: 139; T11: 36
19,unigram,12,3,0.5,symmetric,symmetric,10,0.5173272269937536,3464,1078,42,15.83011583011583,2.7027027027027026,"T0: attack, attacker, device, system, said, network, security, access, threat, user | T1: file, system, command, agent, code, attacker, figure, window, script, payload | T2: phone, crime, fraud, use, reward, law, federal, year, police, fbi | T3: object, process, user, administrator, vulnerability, token, access, memory, directory, data | T4: access, process, attack, adversary, window, handle, api, security, target, used | T5: module, exploit, update, metasploit, add, request, code, cve, rce, user | T6: security, team, data, vulnerability, risk, exposure, remediation, environment, model, faster | T7: sample, fuzzing, version, coverage, cpanel, bug, server, worker, user, whm | T8: vulnerability, cve, exploitation, window, likely, less, privilege, elevation, microsoft, service | T9: file, window, detection, ransomware, system, figure, encryption, platform, data, email | T10: zone, year, feel, cybersecurity, packet, job, system, security, actually, malware | T11: buffer, pointer, write, dynamic, payload, heap, skip, exploit, data, call",T0: 164; T1: 80; T2: 109; T3: 28; T4: 74; T5: 114; T6: 85; T7: 72; T8: 39; T9: 104; T10: 124; T11: 43
20,unigram,12,3,0.5,symmetric,symmetric,20,0.527985673895799,3464,1078,42,16.312741312741313,3.1853281853281854,"T0: attack, device, attacker, said, network, security, access, system, threat, user | T1: file, system, command, code, agent, attacker, payload, figure, script, window | T2: phone, crime, fraud, use, reward, law, federal, police, year, fbi | T3: object, process, user, administrator, vulnerability, token, access, memory, directory, feature | T4: access, process, attack, adversary, window, handle, api, target, security, used | T5: module, exploit, update, add, request, metasploit, code, rce, cve, google | T6: security, team, data, risk, vulnerability, environment, exposure, model, remediation, organization | T7: sample, fuzzing, version, coverage, cpanel, server, bug, worker, whm, user | T8: vulnerability, cve, exploitation, window, likely, less, privilege, elevation, microsoft, service | T9: file, window, detection, ransomware, system, encryption, platform, malware, figure, data | T10: zone, year, feel, packet, actually, tool, job, cybersecurity, system, even | T11: buffer, pointer, write, dynamic, payload, heap, skip, exploit, data, call",T0: 169; T1: 74; T2: 115; T3: 33; T4: 75; T5: 109; T6: 86; T7: 59; T8: 38; T9: 103; T10: 139; T11: 36
